company_name,business_category,website,email,phone,address,city,country,area,source
Maxicare Primary Care Clinic,hospital,,pcc.vvsoliven@maxicare.com.ph,+63277987788; +63277987739,Central,Manila,PH,Central,super_fast_ph
DocHealth,hospital,,info.dochealthclinic@gmail.com,+63 917 315 4833,Central,Manila,PH,Central,super_fast_ph
Ospital ng Maynila,hospital,,ommc_a@yahoo.com,+63 025246063;+63 025246064,Central,Manila,PH,Central,super_fast_ph
Ospital ng Sampaloc,hospital,,osam@manila.gov.ph,,Central,Manila,PH,Central,super_fast_ph
De Los Santos Medical Center,hospital,,customercare@dlsmc.ph,+63 2 7889 35762,Central,Manila,PH,Central,super_fast_ph
Gat Andres Bonifacio Medical Center,hospital,,gabmc@manila.gov.ph,+63 2 8243 8841,Central,Manila,PH,Central,super_fast_ph
Santa Ana Hospital,hospital,,admin@staanahospital.com,+63 2 8516 6151;+63 2 8516 6790,Central,Manila,PH,Central,super_fast_ph
Carlton Opticians,eye,,carltonopticians@live.co.uk,+44 115 987 3125,NG1-NG20,Nottingham,UK,NG1-NG20,super_fast_uk
Springfield University Hospital,hospital,,ContactCentreSPH@swlstg.nhs.uk,+44 20 3513 5000,South,London,UK,South,super_fast_uk
Medivet,pet_store,,southwark@medivet.co.uk,+44 20 7232 2637,South,London,UK,South,super_fast_uk
RPH ED Project Construction Site,hospital,,David.Wearing@lendlease.com,+61 417 696 010,Central,Perth,AU,Central,super_fast_au
Cubitts,eye,,broadwaymarket@cubitts.com,+44 20 3935 9603,South,London,UK,South,super_fast_uk
MARC,hospital,,contact@marc-llc.net,+1 202-722-0122,DC,Washington,USA,DC,super_fast_usa
Garrett Leight California,eye,,brooklyn@garrettleight.com,+1-347-689-3856,Manhattan,New York,USA,Manhattan,super_fast_usa
Manila Doctors Hospital,hospital,,info@maniladoctors.com.ph,+632 5247376;+632 5580888 loc. 4480;+632,Central,Manila,PH,Central,super_fast_ph
Vista Prima Optical Clinic,eye,,vistaprima09@yahoo.com,+6327337568;+632733913,Central,Manila,PH,Central,super_fast_ph
Fashion Optical,eye,,fashionopticalcorp@gmail.com,+1 626-821-2220,Central,Los Angeles,USA,Central,super_fast_usa
Kensington Physiotherapy,physio,,physio@unsw.edu.au,+61 2 9385 6482,Central,Sydney,AU,Central,super_fast_au
